date,revenue,expenses,profit_margin,cash_flow,anomaly_flag
2024-05-12,86295.05,72021.44,16.5405,14273.6,False
2024-05-13,80586.59,67052.64,16.7943,27807.55,False
2024-05-14,88208.31,68840.41,21.957,47175.45,False
2024-05-15,89032.97,70627.08,20.6731,65581.34,False
2024-05-16,76757.0,56875.25,25.9022,85463.08,False
2024-05-17,79539.43,56280.35,29.2422,108722.17,False
2024-05-18,44833.0,35381.54,21.0815,118173.63,True
2024-05-19,83795.15,62361.46,25.5787,139607.32,False
2024-05-20,85107.78,68047.34,20.0457,156667.75,False
2024-05-21,81586.78,67344.72,17.4563,170909.8,False
2024-05-22,89017.64,62554.84,29.7276,197372.6,False
2024-05-23,88637.55,69966.68,21.0643,216043.48,False
2024-05-24,85656.87,62931.42,26.5308,238768.92,False
2024-05-25,90250.13,75005.37,16.8917,254013.68,False
2024-05-26,87497.62,81909.94,6.3861,259601.36,True
2024-05-27,81891.18,64826.33,20.8384,276666.21,False
2024-05-28,87219.38,68295.49,21.6969,295590.1,False
2024-05-29,81607.84,61975.03,24.0575,315222.91,False
2024-05-30,89567.38,71801.07,19.8357,332989.21,False
2024-05-31,85670.11,69295.59,19.1135,349363.73,False
2024-06-01,85179.68,66869.52,21.4959,367673.9,False
2024-06-02,83138.08,67654.72,18.6237,383157.26,False
2024-06-03,55220.82,46800.34,15.2487,391577.74,True
2024-06-04,85602.44,65305.32,23.7109,411874.86,False
2024-06-05,84525.63,65692.26,22.2813,430708.23,False
2024-06-06,84963.32,59633.24,29.813,456038.3,False
2024-06-07,88905.59,72849.62,18.0596,472094.27,False
2024-06-08,88303.88,68703.47,22.1965,491694.69,False
2024-06-09,88634.1,67467.76,23.8806,512861.02,False
2024-06-10,88841.97,63443.01,28.5889,538259.98,False
2024-06-11,96425.88,80366.0,16.6552,554319.86,False
2024-06-12,85460.86,64886.25,24.0749,574894.47,False
2024-06-13,85133.99,68310.43,19.7613,591718.03,False
2024-06-14,45172.85,32633.14,27.7594,604257.74,True
2024-06-15,90359.5,76284.42,15.5768,618332.82,False
2024-06-16,92765.94,67419.16,27.3234,643679.6,False
2024-06-17,87461.33,63840.76,27.0069,667300.17,False
2024-06-18,84417.67,69969.37,17.1153,681748.47,False
2024-06-19,84640.61,70834.66,16.3113,695554.42,False
2024-06-20,91320.95,66830.69,26.8178,720044.68,False
2024-06-21,91904.48,70809.66,22.953,741139.5,False
2024-06-22,91193.57,73869.0,18.9976,758464.07,False
2024-06-23,85996.77,71528.23,16.8245,740946.83,False
2024-06-24,90169.31,68245.35,24.3142,762870.78,False
2024-06-25,89836.8,69852.87,22.2447,782854.71,False
2024-06-26,90478.67,73401.5,18.8743,799931.89,False
2024-06-27,93595.4,75781.42,19.033,817745.86,False
2024-06-28,90883.09,74291.84,18.2556,834337.11,False
2024-06-29,93129.62,73152.39,21.451,854314.34,False
2024-06-30,90573.9,64823.04,28.4308,880065.2,False
2024-07-01,91776.51,76688.08,16.4404,895153.63,False
2024-07-02,93533.43,77617.39,17.0164,911069.66,False
2024-07-03,84255.94,69065.83,18.0285,926259.78,False
2024-07-04,89629.59,64083.31,28.5021,951806.06,False
2024-07-05,89149.46,65137.91,26.934,975817.61,False
2024-07-06,88587.28,71892.13,18.846,992512.76,False
2024-07-07,90465.07,63639.55,29.6529,1019338.28,False
2024-07-08,98818.71,83687.96,15.3116,1034469.03,False
2024-07-09,88177.49,66712.6,24.3428,1055933.93,False
2024-07-10,96864.6,78256.61,19.2103,1074541.92,False
2024-07-11,84824.73,70670.51,16.6864,1088696.15,False
2024-07-12,91291.96,69308.35,24.0806,1110679.75,False
2024-07-13,93834.95,70176.34,25.213,1134338.37,False
2024-07-14,96045.66,76002.0,20.8689,1154382.03,False
2024-07-15,48918.06,38505.77,21.2852,1164794.31,True
2024-07-16,97503.19,74236.1,23.8629,1188061.4,False
2024-07-17,92382.89,73007.08,20.9734,1207437.22,False
2024-07-18,92084.27,77379.07,15.9693,1222142.41,False
2024-07-19,98560.58,75906.04,22.9854,1244796.95,False
2024-07-20,93844.78,68460.83,27.0489,1270180.9,False
2024-07-21,88938.16,67288.91,24.3419,1291830.15,False
2024-07-22,89848.52,68205.45,24.0884,1313473.21,False
2024-07-23,91104.98,65565.18,28.0334,1339013.01,False
2024-07-24,98126.27,71085.68,27.5569,1366053.59,False
2024-07-25,96682.31,77605.38,19.7316,1385130.53,False
2024-07-26,99575.53,74773.42,24.9078,1409932.64,False
2024-07-27,94445.9,79640.06,15.6765,1424738.47,False
2024-07-28,97530.85,71835.32,26.346,1450433.99,False
2024-07-29,100055.94,71523.86,28.5161,1478966.08,False
2024-07-30,95774.91,77867.46,18.6974,1496873.53,False
2024-07-31,74221.14,61763.52,16.7845,1509331.14,True
2024-08-01,94562.39,70138.53,25.8283,1533755.0,False
2024-08-02,96280.18,70314.69,26.9687,1559720.49,False
2024-08-03,96445.37,70199.2,27.2135,1585966.66,False
2024-08-04,92689.93,72140.74,22.1698,1606515.85,False
2024-08-05,101254.33,77992.41,22.9738,1629777.77,False
2024-08-06,96784.93,71515.93,26.1084,1655046.76,False
2024-08-07,99437.14,70279.78,29.3224,1684204.12,False
2024-08-08,102034.46,78793.43,22.7776,1707445.15,False
2024-08-09,102134.52,86191.3,15.61,1723388.37,False
2024-08-10,103501.36,82581.45,20.2122,1744308.28,False
2024-08-11,99939.19,77385.51,22.5674,1766861.96,False
2024-08-12,98567.46,70633.82,28.3396,1794795.6,False
2024-08-13,100561.26,74200.68,26.2135,1821156.19,False
2024-08-14,92688.22,68980.07,25.5784,1844864.34,False
2024-08-15,94149.61,76705.62,18.5279,1862308.33,False
2024-08-16,95027.88,79016.31,16.8493,1878319.9,False
2024-08-17,96934.65,80964.3,16.4754,1894290.24,False
2024-08-18,104329.9,88438.92,15.2315,1910181.22,False
2024-08-19,72427.14,61371.5,15.2645,1921236.86,True
2024-08-20,100867.14,85025.95,15.705,1937078.06,False
2024-08-21,109768.84,78020.76,28.9227,1968826.14,False
2024-08-22,101493.59,73143.29,27.9331,1997176.44,False
2024-08-23,107414.89,80096.06,25.433,2024495.27,False
2024-08-24,99006.31,77515.48,21.7065,2045986.1,False
2024-08-25,103043.51,73629.4,28.5453,2075400.21,False
2024-08-26,99412.84,82201.45,17.313,2092611.6,False
2024-08-27,102853.47,97410.15,5.2923,2098054.92,True
2024-08-28,109289.09,85393.54,21.8645,2121950.47,False
2024-08-29,96056.29,69621.28,27.5203,2148385.47,False
2024-08-30,107678.47,79465.45,26.2012,2176598.49,False
2024-08-31,75675.02,54792.26,27.5953,2197481.25,True
2024-09-01,102744.85,85051.16,17.221,2215174.95,False
2024-09-02,98464.83,77554.26,21.2366,2236085.51,False
2024-09-03,106769.44,86512.01,18.9731,2256342.94,False
2024-09-04,103807.84,77275.07,25.5595,2282875.71,False
2024-09-05,108117.55,81703.13,24.4312,2309290.14,False
2024-09-06,107232.75,81574.99,23.9272,2334947.91,False
2024-09-07,115953.32,94386.27,18.5998,2356514.97,False
2024-09-08,106305.36,86729.54,18.4147,2376090.78,False
2024-09-09,102310.53,74791.25,26.8978,2403610.06,False
2024-09-10,109030.82,91720.09,15.8769,2420920.8,False
2024-09-11,109484.75,78620.82,28.1902,2451784.73,False
2024-09-12,115897.81,96707.25,16.5582,2470975.29,False
2024-09-13,113290.4,81009.36,28.4941,2503256.33,False
2024-09-14,110918.45,82044.26,26.0319,2532130.51,False
2024-09-15,117185.33,96908.96,17.3028,2552406.88,False
2024-09-16,102912.07,74809.23,27.3076,2580509.72,False
2024-09-17,106125.62,80871.46,23.7965,2605763.88,False
2024-09-18,104757.77,80399.38,23.2521,2630122.27,False
2024-09-19,107913.41,79509.4,26.3211,2658526.29,False
2024-09-20,102677.24,82812.97,19.3463,2678390.55,False
2024-09-21,113981.89,94342.84,17.23,2698029.61,False
2024-09-22,109447.02,90970.86,16.8814,2716505.77,False
2024-09-23,102723.14,77134.63,24.9102,2742094.28,False
2024-09-24,105434.16,82199.38,22.0372,2765329.06,False
2024-09-25,113012.9,108357.79,4.1191,2769984.18,True
2024-09-26,116130.75,85555.79,26.3281,2800559.14,False
2024-09-27,122794.45,88926.28,27.5812,2834427.31,False
2024-09-28,128126.0,107754.33,15.8997,2854798.98,False
2024-09-29,114335.29,95263.98,16.6802,2873870.3,False
2024-09-30,106641.62,87083.95,18.3396,2893427.97,False
2024-10-01,100388.81,78067.28,22.2351,2915749.5,False
2024-10-02,114045.31,88224.45,22.6409,2941570.36,False
2024-10-03,108125.71,84279.87,22.0538,2965416.2,False
2024-10-04,110527.31,86264.93,21.9515,2989678.58,False
2024-10-05,109573.0,83843.56,23.4816,3015408.03,False
2024-10-06,112392.85,80896.24,28.0237,3046904.64,False
2024-10-07,119384.41,85819.43,28.115,3080469.62,False
2024-10-08,114384.49,96407.53,15.7163,3098446.57,False
2024-10-09,112738.16,87068.2,22.7695,3124116.53,False
2024-10-10,107890.03,90949.23,15.7019,3141057.34,False
2024-10-11,104381.55,75628.24,27.5463,3169810.64,False
2024-10-12,111282.05,87151.92,21.6838,3193940.76,False
2024-10-13,113879.14,83263.6,26.8842,3224556.31,False
2024-10-14,124417.99,91817.7,26.2022,3257156.6,False
2024-10-15,115181.46,81146.28,29.5492,3291191.77,False
2024-10-16,120183.86,86273.15,28.2157,3325102.49,False
2024-10-17,111807.15,93641.54,16.2473,3343268.11,False
2024-10-18,107980.23,80794.04,25.177,3370454.29,False
2024-10-19,109343.36,86514.59,20.8781,3393283.07,False
